EPISODE,LUX,STATE_IDX,PWM,REWARD,EPSILON,ALPHA_LAST,Q_S2_LIGHT_UP,Q_S2_LIGHT_DOWN
1,64.17,0,0,-1.0000,0.9990,0.5000,2.4263,2.1929
2,64.17,0,10,-1.0000,0.9980,1.0000,2.4263,2.1929
3,130.00,1,10,-0.7500,0.9970,1.0000,2.4263,2.1929
4,130.00,1,0,-0.6900,0.9960,1.0000,2.4263,2.1929
5,65.00,0,10,-1.0000,0.9950,0.5000,2.4263,2.1929
6,130.00,1,0,-0.7500,0.9940,0.5000,2.4263,2.1929
7,65.00,0,0,-1.0000,0.9930,1.0000,2.4263,2.1929
8,64.17,0,0,-1.0000,0.9920,0.5000,2.4263,2.1929
9,65.00,0,0,-1.0000,0.9910,0.3333,2.4263,2.1929
10,65.00,0,0,-1.0000,0.9900,0.3333,2.4263,2.1929
11,64.17,0,0,-1.0000,0.9891,0.2500,2.4263,2.1929
12,64.17,0,0,-1.0000,0.9881,0.2500,2.4263,2.1929
13,64.17,0,10,-1.0000,0.9871,0.3333,2.4263,2.1929
14,130.00,1,0,-0.7500,0.9861,0.3333,2.4263,2.1929
15,64.17,0,10,-1.0000,0.9851,0.2500,2.4263,2.1929
16,130.00,1,20,-0.7500,0.9841,1.0000,2.4263,2.1929
17,195.83,1,10,-0.0917,0.9831,0.2500,2.4263,2.1929
18,130.00,1,0,-0.7500,0.9822,0.2000,2.4263,2.1929
19,64.17,0,0,-1.0000,0.9812,0.2000,2.4263,2.1929
20,64.17,0,10,-1.0000,0.9802,0.2000,2.4263,2.1929
21,130.00,1,20,-0.7500,0.9792,0.5000,2.4263,2.1929
22,195.83,1,10,-0.0917,0.9782,0.1667,2.4263,2.1929
23,130.00,1,10,-0.7500,0.9773,0.5000,2.4263,2.1929
24,129.17,1,10,-0.6983,0.9763,0.3333,2.4263,2.1929
25,129.17,1,10,-0.6983,0.9753,0.2500,2.4263,2.1929
26,129.17,1,0,-0.6983,0.9743,0.1429,2.4263,2.1929
27,64.17,0,0,-1.0000,0.9733,0.2000,2.4263,2.1929
28,63.33,0,10,-1.0000,0.9724,0.1667,2.4263,2.1929
29,129.17,1,20,-0.7583,0.9714,0.3333,2.4263,2.1929
30,195.00,1,10,-0.1000,0.9704,0.1250,2.4263,2.1929
31,129.17,1,20,-0.7583,0.9695,0.2500,2.4263,2.1929
32,195.00,1,10,-0.1000,0.9685,0.1111,2.4263,2.1929
33,129.17,1,20,-0.7583,0.9675,0.2000,2.4263,2.1929
34,195.00,1,20,-0.1000,0.9666,0.2000,2.4263,2.1929
35,195.00,1,10,-0.0400,0.9656,0.1000,2.4263,2.1929
36,129.17,1,20,-0.7583,0.9646,0.1667,2.4263,2.1929
37,195.00,1,10,-0.1000,0.9637,0.0909,2.4263,2.1929
38,129.17,1,0,-0.7583,0.9627,0.0833,2.4263,2.1929
39,63.33,0,0,-1.0000,0.9617,0.1667,2.4263,2.1929
40,63.33,0,0,-1.0000,0.9608,0.1667,2.4263,2.1929
41,63.33,0,10,-1.0000,0.9598,0.1429,2.4263,2.1929
42,129.17,1,20,-0.7583,0.9589,0.1429,2.4263,2.1929
43,195.83,1,30,-0.0917,0.9579,0.1250,2.4263,2.1929
44,261.67,2,40,0.5667,0.9569,1.0000,2.4263,2.1929
45,326.67,2,40,0.6833,0.9560,1.0000,2.4263,2.1929
46,327.50,2,30,0.7350,0.9550,1.0000,2.4263,2.1929
47,260.83,2,40,0.5583,0.9541,0.5000,2.4263,2.1929
48,325.83,2,40,0.6917,0.9531,0.5000,2.4263,2.1929
49,326.67,2,30,0.7433,0.9522,0.5000,2.4263,2.1929
50,260.83,2,30,0.5583,0.9512,0.3333,2.4263,2.1929
51,260.83,2,30,0.6183,0.9503,0.2500,2.4263,2.1929
52,260.83,2,40,0.6183,0.9493,0.3333,2.4263,2.1929
53,326.67,2,50,0.6833,0.9484,0.2500,2.4263,2.1929
54,392.50,3,40,0.0250,0.9474,1.0000,2.4263,2.1929
55,326.67,2,30,0.6833,0.9465,0.3333,2.4263,2.1929
56,261.67,2,30,0.5667,0.9455,0.2000,2.4263,2.1929
57,261.67,2,20,0.6267,0.9446,0.2500,2.4263,2.1929
58,195.00,1,10,-0.1000,0.9436,0.0769,2.4263,2.1929
59,129.17,1,0,-0.7583,0.9427,0.0714,2.4263,2.1929
60,63.33,0,0,-1.0000,0.9417,0.1429,2.4263,2.1929
61,63.33,0,10,-1.0000,0.9408,0.1250,2.4263,2.1929
62,129.17,1,10,-0.7583,0.9399,0.1667,2.4263,2.1929
63,129.17,1,10,-0.6983,0.9389,0.1429,2.4263,2.1929
64,129.17,1,20,-0.6983,0.9380,0.1111,2.4263,2.1929
65,195.83,1,10,-0.0917,0.9370,0.0667,2.4263,2.1929
66,129.17,1,0,-0.7583,0.9361,0.0625,2.4263,2.1929
67,64.17,0,10,-1.0000,0.9352,0.1111,2.4263,2.1929
68,129.17,1,10,-0.7583,0.9342,0.1250,2.4263,2.1929
69,129.17,1,20,-0.6983,0.9333,0.1000,2.4263,2.1929
70,195.00,1,10,-0.1000,0.9324,0.0588,2.4263,2.1929
71,129.17,1,0,-0.7583,0.9314,0.0556,2.4263,2.1929
72,63.33,0,0,-1.0000,0.9305,0.1250,2.4263,2.1929
73,63.33,0,0,-1.0000,0.9296,0.1111,2.4263,2.1929
74,63.33,0,10,-1.0000,0.9286,0.1000,2.4263,2.1929
75,129.17,1,0,-0.7583,0.9277,0.0526,2.4263,2.1929
76,63.33,0,10,-1.0000,0.9268,0.0909,2.4263,2.1929
77,129.17,1,0,-0.7583,0.9259,0.0500,2.4263,2.1929
78,65.83,0,0,-1.0000,0.9249,0.1000,2.4263,2.1929
79,65.83,0,10,-1.0000,0.9240,0.0833,2.4263,2.1929
80,130.83,1,10,-0.7417,0.9231,0.1111,2.4263,2.1929
81,130.83,1,10,-0.6817,0.9222,0.1000,2.4263,2.1929
82,129.17,1,10,-0.6983,0.9212,0.0909,2.4263,2.1929
83,129.17,1,20,-0.6983,0.9203,0.0909,2.4263,2.1929
84,195.00,1,20,-0.1000,0.9194,0.0833,2.4263,2.1929
85,195.00,1,30,-0.0400,0.9185,0.0833,2.4263,2.1929
86,260.83,2,20,0.5583,0.9176,0.2000,2.4263,2.1929
87,195.00,1,20,-0.1000,0.9166,0.0769,2.4263,2.1929
88,195.00,1,20,-0.0400,0.9157,0.0714,2.4263,2.1929
89,195.00,1,30,-0.0400,0.9148,0.0769,2.4263,2.1929
90,259.17,2,40,0.5417,0.9139,0.2000,2.4263,2.1929
91,325.00,2,30,0.7000,0.9130,0.1667,2.4263,2.1929
92,259.17,2,30,0.5417,0.9121,0.1667,2.4263,2.1929
93,259.17,2,30,0.6017,0.9112,0.1429,2.4263,2.1929
94,259.17,2,30,0.6017,0.9102,0.1250,2.4263,2.1929
95,259.17,2,30,0.6017,0.9093,0.1111,2.4263,2.1929
96,259.17,2,30,0.6017,0.9084,0.1000,2.4263,2.1929
97,259.17,2,30,0.6017,0.9075,0.0909,2.4263,2.1929
98,260.00,2,20,0.6100,0.9066,0.1429,2.4263,2.1929
99,194.17,1,20,-0.1083,0.9057,0.0667,2.4263,2.1929
100,194.17,1,30,-0.0483,0.9048,0.0714,2.4263,2.1929
101,260.83,2,40,0.5583,0.9039,0.1667,2.4263,2.1929
102,325.83,2,40,0.6917,0.9030,0.0833,2.4263,2.1929
103,326.67,2,30,0.7433,0.9021,0.1250,2.4263,2.1929
104,260.83,2,20,0.5583,0.9012,0.1111,2.4263,2.1929
105,194.17,1,20,-0.1083,0.9003,0.0625,2.4263,2.1929
106,194.17,1,10,-0.0483,0.8994,0.0476,2.4263,2.1929
107,128.33,1,10,-0.7667,0.8985,0.0588,2.4263,2.1929
108,128.33,1,0,-0.7067,0.8976,0.0455,2.4263,2.1929
109,62.50,0,10,-1.0000,0.8967,0.0769,2.4263,2.1929
110,128.33,1,0,-0.7667,0.8958,0.0435,2.4263,2.1929
111,62.50,0,0,-1.0000,0.8949,0.1429,2.4263,2.1929
112,62.50,0,10,-1.0000,0.8940,0.0714,2.4263,2.1929
113,128.33,1,10,-0.7667,0.8931,0.0556,2.4263,2.1929
114,128.33,1,20,-0.7067,0.8922,0.0667,2.4263,2.1929
115,194.17,1,30,-0.1083,0.8913,0.0625,2.4263,2.1929
116,260.83,2,20,0.5583,0.8904,0.1000,2.4263,2.1929
117,194.17,1,30,-0.1083,0.8895,0.0588,2.4263,2.1929
118,260.83,2,40,0.5583,0.8886,0.1429,2.4263,2.1929
119,325.83,2,40,0.6917,0.8878,0.0769,2.4263,2.1929
120,326.67,2,50,0.7433,0.8869,0.1250,2.4263,2.1929
121,392.50,3,50,0.0250,0.8860,1.0000,2.4263,2.1929
122,393.33,3,60,0.0767,0.8851,1.0000,2.4263,2.1929
123,459.17,3,50,-0.6417,0.8842,0.5000,2.4263,2.1929
124,392.50,3,40,0.0250,0.8833,0.3333,2.4263,2.1929
125,326.67,2,40,0.6833,0.8824,0.0714,2.4263,2.1929
126,325.83,2,40,0.7517,0.8816,0.0667,2.4263,2.1929
127,325.83,2,50,0.7517,0.8807,0.1111,2.4263,2.1929
128,392.50,3,40,0.0250,0.8798,0.2500,2.4263,2.1929
129,326.67,2,40,0.6833,0.8789,0.0625,2.4263,2.1929
130,325.83,2,40,0.7517,0.8780,0.0588,2.4263,2.1929
131,325.00,2,50,0.7600,0.8772,0.1000,2.4263,2.1929
132,391.67,3,60,0.0333,0.8763,0.5000,2.4263,2.1929
133,457.50,3,60,-0.6250,0.8754,0.5000,2.4263,2.1929
134,458.33,3,60,-0.5733,0.8745,0.3333,2.4263,2.1929
135,460.00,3,60,-0.5900,0.8737,0.2500,2.4263,2.1929
136,459.17,3,50,-0.5817,0.8728,0.2000,2.4263,2.1929
137,392.50,3,40,0.0250,0.8719,0.1667,2.4263,2.1929
138,326.67,2,40,0.6833,0.8710,0.0556,2.4263,2.1929
139,326.67,2,30,0.7433,0.8702,0.0909,2.4263,2.1929
140,260.83,2,40,0.5583,0.8693,0.0909,2.4263,2.1929
